Date,PX_LAST
#NAME?,566.1917
2010-11-19,743.92703
2010-11-18,741.06566
2010-11-17,736.79602
2010-11-16,751.83389
2010-11-15,769.13539
2010-11-12,766.07404
2010-11-11,782.21067
2010-11-10,792.50983
2010-11-09,799.25632
2010-11-08,798.42826
2010-11-05,791.10598
2010-11-04,787.08427
2010-11-03,779.49078
2010-11-02,777.69592
2010-11-01,769.78131
2010-10-29,776.72248
2010-10-28,787.52855
2010-10-27,791.36654
2010-10-26,791.27894
2010-10-25,791.76134
2010-10-22,783.01803
2010-10-21,785.09829
2010-10-20,787.38414
2010-10-19,789.24269
2010-10-18,806.43649
2010-10-15,805.38467
2010-10-14,813.89142
2010-10-13,811.62664
2010-10-12,802.89248
2010-10-11,810.47523
2010-10-08,795.62064
2010-10-07,798.72533
2010-10-06,794.49264
2010-10-05,797.48716
2010-10-04,788.42816
2010-10-01,795.85868
2010-09-30,807.78414
2010-09-29,799.47469
2010-09-28,793.62599
2010-09-27,791.75161
2010-09-24,795.01076
2010-09-23,790.21713
2010-09-22,791.58088
2010-09-21,801.24619
2010-09-20,803.66738
2010-09-17,801.10873
2010-09-16,809.87991
2010-09-15,812.44212
2010-09-14,815.83705
2010-09-13,815.91867
2010-09-10,814.21889
2010-09-09,814.21575
2010-09-08,808.89725
2010-09-07,806.27474
2010-09-06,810.92808
2010-09-03,806.51246
2010-09-02,807.48829
2010-09-01,798.99031
2010-08-31,782.05469
2010-08-30,779.63375
2010-08-27,783.92931
2010-08-26,769.1032
2010-08-25,762.70509
2010-08-24,766.21583
2010-08-23,778.85626
2010-08-20,780.37861
2010-08-19,784.72666
2010-08-18,793.5433
2010-08-17,804.77241
2010-08-16,794.50027
2010-08-13,794.8546
2010-08-12,795.62967
2010-08-11,792.39211
2010-08-10,809.47015
2010-08-09,819.95842
2010-08-06,809.41882
2010-08-05,813.33511
2010-08-04,811.90179
2010-08-03,803.70776
2010-08-02,805.26048
2010-07-30,792.02943
2010-07-29,813.23496
2010-07-28,827.10725
2010-07-27,833.34694
2010-07-26,839.746
2010-07-23,842.25914
2010-07-22,835.01241
2010-07-21,815.29747
2010-07-20,812.4533
